PMID,TI,JT
20638120,Prognosis of patients with HIV-1 infection starting antiretroviral therapy in sub-Saharan Africa: a collaborative analysis of scale-up programmes.,"Lancet (London, England)"
20631647,Long-term outcome of children receiving antiretroviral treatment in rural South Africa: substantial virologic failure on first-line treatment.,The Pediatric infectious disease journal
20626939,Case series of the long-term psychosocial impact of drug-resistant tuberculosis in HIV-negative medical doctors.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
20624074,Genetic characterization of HIV type 1 among patients with suspected immune reconstitution inflammatory syndrome after initiation of antiretroviral therapy in Kenya.,AIDS research and human retroviruses
20586966,Outcome assessment of decentralization of antiretroviral therapy provision in a rural district of Malawi using an integrated primary care model.,Tropical medicine & international health : TM & IH
20586962,Tracking a sample of patients lost to follow-up has a major impact on understanding determinants of survival in HIV-infected patients on antiretroviral therapy in Africa.,Tropical medicine & international health : TM & IH
20586960,Why are antiretroviral treatment patients lost to follow-up? A qualitative study from South Africa.,Tropical medicine & international health : TM & IH
20586959,"Early loss to follow up after enrolment in pre-ART care at a large public clinic in Johannesburg, South Africa.",Tropical medicine & international health : TM & IH
20586956,"Patient retention in antiretroviral therapy programs up to three years on treatment in sub-Saharan Africa, 2007-2009: systematic review.",Tropical medicine & international health : TM & IH
20615222,AIDS-associated Kaposi's sarcoma is linked to advanced disease and high mortality in a primary care HIV programme in South Africa.,Journal of the International AIDS Society
20613459,Initiating patients on antiretroviral therapy at CD4 cell counts above 200 cells/microl is associated with improved treatment outcomes in South Africa.,"AIDS (London, England)"
20588185,Early mortality and loss to follow-up in HIV-infected children starting antiretroviral therapy in Southern Africa.,Journal of acquired immune deficiency syndromes (1999)
20585262,"HIV-1 drug resistance mutations are present in six percent of persons initiating antiretroviral therapy in Lusaka, Zambia.",Journal of acquired immune deficiency syndromes (1999)
20585110,Impact of cotrimoxazole on carriage and antibiotic resistance of Streptococcus pneumoniae and Haemophilus influenzae in HIV-infected children in Zambia.,Antimicrobial agents and chemotherapy
20582324,"The prevalence and drug sensitivity of tuberculosis among patients dying in hospital in KwaZulu-Natal, South Africa: a postmortem study.",PLoS medicine
20576637,Drug resistance is widespread among children who receive long-term antiretroviral treatment at a rural Tanzanian hospital.,The Journal of antimicrobial chemotherapy
20572760,Evaluation of plasma human herpesvirus 8 DNA as a marker of clinical outcomes during antiretroviral therapy for AIDS-related Kaposi sarcoma in Zimbabwe.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
20550776,"Low uptake of antiretroviral therapy after admission with human immunodeficiency virus and tuberculosis in KwaZulu-Natal, South Africa.",The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
20539260,Genital ulcer disease treatment policies and access to acyclovir in eight sub-Saharan African countries.,Sexually transmitted diseases
20532605,Challenges in using mobile phones for collection of antiretroviral therapy adherence data in a resource-limited setting.,AIDS and behavior
20487430,Retention of HIV-infected and HIV-exposed children in a comprehensive HIV clinical care programme in Western Kenya.,Tropical medicine & international health : TM & IH
20487418,Peripartum nevirapine exposure and subsequent clinical outcomes among HIV-infected women receiving antiretroviral therapy for at least 12 months.,Tropical medicine & international health : TM & IH
20482371,Cost-effectiveness of laboratory monitoring in sub-Saharan Africa: a review of the current literature.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
20479873,Incident tuberculosis during antiretroviral therapy contributes to suboptimal immune reconstitution in a large urban HIV clinic in sub-Saharan Africa.,PloS one
20470823,Favourable one-year ART outcomes in adult Malawians with hepatitis B and C co-infection.,The Journal of infection
20470367,Excluding pregnancy among women initiating antiretroviral therapy: efficacy of a family planning job aid.,BMC public health
20465620,Antihistamines are superior to topical steroids in managing human immunodeficiency virus (HIV)-associated papular pruritic eruption.,International journal of dermatology
20455760,Efficacy and safety of unboosted atazanavir in combination with lamivudine and didanosine in naive HIV type 1 patients in Senegal.,AIDS research and human retroviruses
20453629,"Viremia and drug resistance among HIV-1 patients on antiretroviral treatment: a cross-sectional study in Soweto, South Africa.","AIDS (London, England)"
20444744,A randomised placebo-controlled safety and acceptability trial of PRO 2000 vaginal microbicide gel in sexually active women in Uganda.,Sexually transmitted infections
20442758,"A randomized, controlled, trial of short cycle intermittent compared to continuous antiretroviral therapy for the treatment of HIV infection in Uganda.",PloS one
20429487,Utilisation and outcomes of cervical cancer prevention services among HIV-infected women in Cape Town.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
20397305,Outcomes after virologic failure of first-line ART in South Africa.,"AIDS (London, England)"
20395870,Associations with virologic treatment failure in adults on antiretroviral therapy in South Africa.,Journal of acquired immune deficiency syndromes (1999)
20354777,"In the absence of marriage: long-term concurrent partnerships, pregnancy, and HIV risk dynamics among South African young adults.",AIDS and behavior
20345885,"Second-line treatment in the Malawi antiretroviral programme: high early mortality, but good outcomes in survivors, despite extensive drug resistance at baseline.",HIV medicine
20307310,The failure of routine rapid HIV testing: a case study of improving low sensitivity in the field.,BMC health services research
20300631,"A cluster randomized trial of routine HIV-1 viral load monitoring in Zambia: study design, implementation, and baseline cohort characteristics.",PloS one
20230628,Couples' voluntary counselling and testing and nevirapine use in antenatal clinics in two African capitals: a prospective cohort study.,Journal of the International AIDS Society
20225952,Challenges in implementing HIV load testing in South Africa.,The Journal of infectious diseases
20224420,Outcomes of HIV-exposed children in western Kenya: efficacy of prevention of mother to child transmission in a resource-constrained setting.,Journal of acquired immune deficiency syndromes (1999)
20219765,An empirical approach to defining loss to follow-up among patients enrolled in antiretroviral treatment programs.,American journal of epidemiology
20216225,Predicting virologic failure among HIV-1-infected children receiving antiretroviral therapy in Tanzania: a cross-sectional study.,Journal of acquired immune deficiency syndromes (1999)
20215784,Retrospective analysis of the efficacy of gemcitabine for previously treated AIDS-associated Kaposi's sarcoma in western Kenya.,Oncology
20209059,"The ""ART"" of linkage: pre-treatment loss to care after HIV diagnosis at two PEPFAR sites in Durban, South Africa.",PloS one
20202298,"High treatment failure and default rates for patients with multidrug-resistant tuberculosis in KwaZulu-Natal, South Africa, 2000-2003.",The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
20185094,Virological follow-up of adult patients in antiretroviral treatment programmes in sub-Saharan Africa: a systematic review.,The Lancet. Infectious diseases
20180975,Integration of HIV/AIDS services into African primary health care: lessons learned for health system strengthening in Mozambique - a case study.,Journal of the International AIDS Society
20180931,"Using vital registration data to update mortality among patients lost to follow-up from ART programmes: evidence from the Themba Lethu Clinic, South Africa.",Tropical medicine & international health : TM & IH
20174653,"Nevirapine-associated early hepatotoxicity: incidence, risk factors, and associated mortality in a primary care ART programme in South Africa.",PloS one
20169113,"Effectiveness of non-nucleoside reverse-transcriptase inhibitor-based antiretroviral therapy in women previously exposed to a single intrapartum dose of nevirapine: a multi-country, prospective cohort study.",PLoS medicine
20129150,Diagnosis and management of antiretroviral-therapy failure in resource-limited settings in sub-Saharan Africa: challenges and perspectives.,The Lancet. Infectious diseases
20023441,Quality of HIV care provided by non-physician clinicians and physicians in Mozambique: a retrospective cohort study.,"AIDS (London, England)"
20042849,The high cost of second-line antiretroviral therapy for HIV/AIDS in South Africa.,"AIDS (London, England)"
21576064,"Pilot study to develop a rapid assessment of tuberculosis care-seeking and adherence practices in rural Limpopo Province, South Africa.",International quarterly of community health education
20022131,"Policy and practice, lost in transition: Reasons for high drop-out from pre-antiretroviral care in a resource-poor setting of eastern Uganda.","Health policy (Amsterdam, Netherlands)"
20004464,Routine versus clinically driven laboratory monitoring of HIV antiretroviral therapy in Africa (DART): a randomised non-inferiority trial.,"Lancet (London, England)"
19940744,"Six-month gain in weight, height, and CD4 predict subsequent antiretroviral treatment responses in HIV-infected South African children.","AIDS (London, England)"
19935382,Antiretroviral treatment changes in adults from Cote d'Ivoire: the roles of tuberculosis and pregnancy.,"AIDS (London, England)"
19917318,Affordable in-house antiretroviral drug resistance assay with good performance in non-subtype B HIV-1.,Journal of virological methods
19833824,HIV coinfection in multidrug- and extensively drug-resistant tuberculosis results in high early mortality.,American journal of respiratory and critical care medicine
19801944,Varied patterns of HIV-1 drug resistance on failing first-line antiretroviral therapy in South Africa.,Journal of acquired immune deficiency syndromes (1999)
19745753,Understanding reasons for and outcomes of patients lost to follow-up in antiretroviral therapy programs in Africa through a sampling-based approach.,Journal of acquired immune deficiency syndromes (1999)
19745752,Sustainability of first-line antiretroviral regimens: findings from a large HIV treatment program in western Kenya.,Journal of acquired immune deficiency syndromes (1999)
19602489,Evaluation of a 5-year programme to prevent mother-to-child transmission of HIV infection in Northern Uganda.,Journal of tropical pediatrics
